;;;;;;Time;Utility
Dataset;k;QIs;Algorithm;Quality;Transformation;Value;Value
IHIS;5;7;SANCHEZ;LOSS;LOCAL_GENERALIZATION;41790.0;0.8317681643568458
IHIS;5;7;SANCHEZ;SSE;LOCAL_GENERALIZATION;41790.0;0.8987354651413824
IHIS;5;8;SANCHEZ;LOSS;LOCAL_GENERALIZATION;47028.0;0.773250064717915
IHIS;5;8;SANCHEZ;SSE;LOCAL_GENERALIZATION;47028.0;0.8565413936789155
IHIS;5;9;SANCHEZ;LOSS;LOCAL_GENERALIZATION;52464.0;0.6335646432463599
IHIS;5;9;SANCHEZ;SSE;LOCAL_GENERALIZATION;52464.0;0.7722787039057063
ADULT;2;9;SANCHEZ;LOSS;LOCAL_GENERALIZATION;1108.0;0.8544818426838863
ADULT;2;9;SANCHEZ;SSE;LOCAL_GENERALIZATION;1108.0;0.8176296508709799
ADULT;3;9;SANCHEZ;LOSS;LOCAL_GENERALIZATION;1045.0;0.7691777489407945
ADULT;3;9;SANCHEZ;SSE;LOCAL_GENERALIZATION;1045.0;0.7473920872817308
ADULT;5;9;SANCHEZ;LOSS;LOCAL_GENERALIZATION;1061.0;0.6667737761599859
ADULT;5;9;SANCHEZ;SSE;LOCAL_GENERALIZATION;1061.0;0.6745726460349047
ADULT;10;9;SANCHEZ;LOSS;LOCAL_GENERALIZATION;1045.0;0.5446646602020107
ADULT;10;9;SANCHEZ;SSE;LOCAL_GENERALIZATION;1045.0;0.5930559029787048
ADULT;5;1;SANCHEZ;LOSS;LOCAL_GENERALIZATION;156.0;1.0
ADULT;5;1;SANCHEZ;SSE;LOCAL_GENERALIZATION;156.0;1.0
ADULT;5;2;SANCHEZ;LOSS;LOCAL_GENERALIZATION;374.0;0.9919714364350316
ADULT;5;2;SANCHEZ;SSE;LOCAL_GENERALIZATION;374.0;0.9929717310128315
ADULT;5;3;SANCHEZ;LOSS;LOCAL_GENERALIZATION;452.0;0.9755406800234592
ADULT;5;3;SANCHEZ;SSE;LOCAL_GENERALIZATION;452.0;0.9751926515038667
ADULT;5;4;SANCHEZ;LOSS;LOCAL_GENERALIZATION;530.0;0.9419779405063493
ADULT;5;4;SANCHEZ;SSE;LOCAL_GENERALIZATION;530.0;0.9371161837516806
